trial_id,participant_id,chain_id,domain,round_num,score,n_actions,chain_pos,condition
185,174,83,animals,31,50.0,7,,individual
185,174,83,animals,32,50.0,8,,individual
185,174,83,animals,33,50.0,7,,individual
185,174,83,animals,34,50.0,7,,individual
185,174,83,animals,35,50.0,7,,individual
185,174,83,animals,36,50.0,7,,individual
185,174,83,animals,37,50.0,8,,individual
185,174,83,animals,38,55.0,8,,individual
185,174,83,animals,39,50.0,7,,individual
185,174,83,animals,40,55.0,8,,individual
197,181,82,decorations,1,0.0,10,,individual
197,181,82,decorations,2,20.0,5,,individual
197,181,82,decorations,3,20.0,4,,individual
197,181,82,decorations,4,75.0,6,,individual
197,181,82,decorations,5,45.0,4,,individual
197,181,82,decorations,6,50.0,4,,individual
197,181,82,decorations,7,50.0,4,,individual
197,181,82,decorations,8,75.0,6,,individual
197,181,82,decorations,9,20.0,5,,individual
197,181,82,decorations,10,70.0,6,,individual
197,181,82,decorations,11,75.0,5,,individual
197,181,82,decorations,12,0.0,5,,individual
197,181,82,decorations,13,0.0,7,,individual
197,181,82,decorations,14,0.0,6,,individual
197,181,82,decorations,15,0.0,5,,individual
197,181,82,decorations,16,0.0,5,,individual
197,181,82,decorations,17,0.0,4,,individual
197,181,82,decorations,18,45.0,6,,individual
197,181,82,decorations,19,0.0,4,,individual
197,181,82,decorations,20,75.0,5,,individual
197,181,82,decorations,21,0.0,4,,individual
197,181,82,decorations,22,0.0,6,,individual
197,181,82,decorations,23,75.0,5,,individual
197,181,82,decorations,24,50.0,6,,individual
197,181,82,decorations,25,0.0,5,,individual
197,181,82,decorations,26,0.0,4,,individual
197,181,82,decorations,27,80.0,3,,individual
197,181,82,decorations,28,80.0,2,,individual
197,181,82,decorations,29,50.0,4,,individual
197,181,82,decorations,30,80.0,2,,individual
197,181,82,decorations,31,50.0,2,,individual
197,181,82,decorations,32,20.0,2,,individual
197,181,82,decorations,33,50.0,2,,individual
197,181,82,decorations,34,45.0,3,,individual
197,181,82,decorations,35,0.0,3,,individual
197,181,82,decorations,36,80.0,4,,individual
197,181,82,decorations,37,0.0,3,,individual
197,181,82,decorations,38,0.0,4,,individual
197,181,82,decorations,39,50.0,4,,individual
197,181,82,decorations,40,80.0,2,,individual
201,184,82,decorations,1,30.0,3,,individual
201,184,82,decorations,2,80.0,2,,individual
201,184,82,decorations,3,80.0,3,,individual
201,184,82,decorations,4,0.0,7,,individual
201,184,82,decorations,5,55.0,2,,individual
201,184,82,decorations,6,55.0,2,,individual
201,184,82,decorations,7,0.0,2,,individual
201,184,82,decorations,8,0.0,2,,individual
201,184,82,decorations,9,25.0,2,,individual
201,184,82,decorations,10,30.0,1,,individual
201,184,82,decorations,11,0.0,2,,individual
201,184,82,decorations,12,0.0,5,,individual
201,184,82,decorations,13,0.0,3,,individual
201,184,82,decorations,14,55.0,2,,individual
201,184,82,decorations,15,0.0,2,,individual
201,184,82,decorations,16,0.0,2,,individual
201,184,82,decorations,17,50.0,2,,individual
201,184,82,decorations,18,25.0,2,,individual
201,184,82,decorations,19,50.0,2,,individual
201,184,82,decorations,20,0.0,2,,individual
201,184,82,decorations,21,0.0,2,,individual
201,184,82,decorations,22,0.0,2,,individual
201,184,82,decorations,23,30.0,1,,individual
201,184,82,decorations,24,0.0,2,,individual
201,184,82,decorations,25,55.0,2,,individual
201,184,82,decorations,26,55.0,2,,individual
201,184,82,decorations,27,0.0,2,,individual
201,184,82,decorations,28,0.0,2,,individual
201,184,82,decorations,29,0.0,3,,individual
201,184,82,decorations,30,0.0,1,,individual
201,184,82,decorations,31,25.0,2,,individual
201,184,82,decorations,32,0.0,2,,individual
201,184,82,decorations,33,55.0,2,,individual
201,184,82,decorations,34,45.0,2,,individual
201,184,82,decorations,35,55.0,2,,individual
201,184,82,decorations,36,30.0,1,,individual
201,184,82,decorations,37,0.0,2,,individual
201,184,82,decorations,38,0.0,2,,individual
201,184,82,decorations,39,0.0,3,,individual
201,184,82,decorations,40,25.0,1,,individual
202,183,81,cooking,1,0.0,4,,individual
202,183,81,cooking,2,0.0,4,,individual
202,183,81,cooking,3,0.0,6,,individual
202,183,81,cooking,4,0.0,6,,individual
202,183,81,cooking,5,0.0,4,,individual
202,183,81,cooking,6,40.0,2,,individual
202,183,81,cooking,7,40.0,4,,individual
202,183,81,cooking,8,80.0,3,,individual
202,183,81,cooking,9,0.0,4,,individual
202,183,81,cooking,10,25.0,5,,individual
202,183,81,cooking,11,80.0,4,,individual
202,183,81,cooking,12,0.0,5,,individual
202,183,81,cooking,13,0.0,5,,individual
202,183,81,cooking,14,80.0,4,,individual
202,183,81,cooking,15,80.0,3,,individual
202,183,81,cooking,16,0.0,4,,individual
202,183,81,cooking,17,0.0,7,,individual
202,183,81,cooking,18,80.0,4,,individual
202,183,81,cooking,19,40.0,4,,individual
202,183,81,cooking,20,0.0,4,,individual
202,183,81,cooking,21,20.0,4,,individual
202,183,81,cooking,22,0.0,5,,individual
202,183,81,cooking,23,0.0,4,,individual
202,183,81,cooking,24,0.0,4,,individual
202,183,81,cooking,25,80.0,3,,individual
202,183,81,cooking,26,20.0,2,,individual
202,183,81,cooking,27,80.0,3,,individual
202,183,81,cooking,28,40.0,2,,individual
202,183,81,cooking,29,80.0,4,,individual
202,183,81,cooking,30,0.0,4,,individual
202,183,81,cooking,31,0.0,4,,individual
202,183,81,cooking,32,80.0,4,,individual
202,183,81,cooking,33,80.0,4,,individual
202,183,81,cooking,34,0.0,4,,individual
202,183,81,cooking,35,20.0,4,,individual
202,183,81,cooking,36,0.0,4,,individual
202,183,81,cooking,37,80.0,3,,individual
202,183,81,cooking,38,80.0,3,,individual
202,183,81,cooking,39,0.0,5,,individual
202,183,81,cooking,40,60.0,3,,individual
217,191,81,cooking,1,40.0,7,,individual
217,191,81,cooking,2,60.0,8,,individual
217,191,81,cooking,3,40.0,4,,individual
217,191,81,cooking,4,0.0,7,,individual
217,191,81,cooking,5,60.0,3,,individual
217,191,81,cooking,6,40.0,3,,individual
217,191,81,cooking,7,25.0,6,,individual
217,191,81,cooking,8,20.0,3,,individual
217,191,81,cooking,9,0.0,4,,individual
217,191,81,cooking,10,0.0,5,,individual
217,191,81,cooking,11,80.0,4,,individual
217,191,81,cooking,12,20.0,3,,individual
217,191,81,cooking,13,20.0,3,,individual
217,191,81,cooking,14,20.0,1,,individual
217,191,81,cooking,15,60.0,4,,individual
217,191,81,cooking,16,60.0,3,,individual
217,191,81,cooking,17,40.0,5,,individual
217,191,81,cooking,18,0.0,5,,individual
217,191,81,cooking,19,20.0,2,,individual
217,191,81,cooking,20,80.0,3,,individual
217,191,81,cooking,21,40.0,3,,individual
217,191,81,cooking,22,40.0,5,,individual
217,191,81,cooking,23,0.0,4,,individual
217,191,81,cooking,24,40.0,2,,individual
217,191,81,cooking,25,40.0,2,,individual
217,191,81,cooking,26,40.0,3,,individual
217,191,81,cooking,27,40.0,4,,individual
217,191,81,cooking,28,20.0,3,,individual
217,191,81,cooking,29,40.0,4,,individual
217,191,81,cooking,30,20.0,2,,individual
217,191,81,cooking,31,40.0,2,,individual
217,191,81,cooking,32,20.0,2,,individual
217,191,81,cooking,33,60.0,4,,individual
217,191,81,cooking,34,40.0,4,,individual
217,191,81,cooking,35,40.0,5,,individual
217,191,81,cooking,36,80.0,3,,individual
217,191,81,cooking,37,80.0,3,,individual
217,191,81,cooking,38,60.0,6,,individual
217,191,81,cooking,39,60.0,4,,individual
217,191,81,cooking,40,0.0,7,,individual
218,192,84,potions,1,0.0,8,,individual
218,192,84,potions,2,30.0,5,,individual
218,192,84,potions,3,0.0,5,,individual
218,192,84,potions,4,30.0,1,,individual
218,192,84,potions,5,0.0,4,,individual
218,192,84,potions,6,30.0,4,,individual
218,192,84,potions,7,100.0,4,,individual
218,192,84,potions,8,100.0,3,,individual
218,192,84,potions,9,30.0,4,,individual
218,192,84,potions,10,70.0,2,,individual
218,192,84,potions,11,0.0,9,,individual
218,192,84,potions,12,100.0,5,,individual
218,192,84,potions,13,30.0,5,,individual
218,192,84,potions,14,100.0,3,,individual
218,192,84,potions,15,100.0,6,,individual
218,192,84,potions,16,100.0,5,,individual
218,192,84,potions,17,100.0,2,,individual
218,192,84,potions,18,100.0,2,,individual
218,192,84,potions,19,100.0,5,,individual
218,192,84,potions,20,0.0,9,,individual
218,192,84,potions,21,60.0,6,,individual
218,192,84,potions,22,100.0,6,,individual
218,192,84,potions,23,60.0,6,,individual
218,192,84,potions,24,100.0,3,,individual
218,192,84,potions,25,100.0,3,,individual
218,192,84,potions,26,100.0,3,,individual
218,192,84,potions,27,100.0,3,,individual
218,192,84,potions,28,60.0,4,,individual
218,192,84,potions,29,60.0,5,,individual
218,192,84,potions,30,100.0,4,,individual
218,192,84,potions,31,100.0,5,,individual
218,192,84,potions,32,60.0,5,,individual
218,192,84,potions,33,100.0,3,,individual
218,192,84,potions,34,60.0,4,,individual
218,192,84,potions,35,100.0,5,,individual
218,192,84,potions,36,100.0,5,,individual
218,192,84,potions,37,100.0,3,,individual
218,192,84,potions,38,60.0,4,,individual
218,192,84,potions,39,100.0,3,,individual
218,192,84,potions,40,100.0,3,,individual
219,194,84,potions,1,60.0,6,,individual
219,194,84,potions,2,30.0,5,,individual
219,194,84,potions,3,60.0,7,,individual
219,194,84,potions,4,30.0,4,,individual
219,194,84,potions,5,100.0,5,,individual
219,194,84,potions,6,30.0,6,,individual
219,194,84,potions,7,60.0,6,,individual
219,194,84,potions,8,30.0,5,,individual
219,194,84,potions,9,100.0,5,,individual
219,194,84,potions,10,60.0,7,,individual
219,194,84,potions,11,100.0,6,,individual
219,194,84,potions,12,100.0,6,,individual
219,194,84,potions,13,100.0,6,,individual
219,194,84,potions,14,100.0,4,,individual
219,194,84,potions,15,100.0,3,,individual
219,194,84,potions,16,100.0,3,,individual
219,194,84,potions,17,60.0,5,,individual
219,194,84,potions,18,100.0,6,,individual
219,194,84,potions,19,100.0,3,,individual
219,194,84,potions,20,100.0,3,,individual
219,194,84,potions,21,100.0,3,,individual
219,194,84,potions,22,100.0,4,,individual
219,194,84,potions,23,100.0,3,,individual
219,194,84,potions,24,100.0,3,,individual
219,194,84,potions,25,100.0,3,,individual
219,194,84,potions,26,100.0,3,,individual
219,194,84,potions,27,100.0,3,,individual
219,194,84,potions,28,100.0,3,,individual
219,194,84,potions,29,100.0,3,,individual
219,194,84,potions,30,60.0,3,,individual
219,194,84,potions,31,100.0,3,,individual
219,194,84,potions,32,100.0,6,,individual
219,194,84,potions,33,100.0,3,,individual
219,194,84,potions,34,100.0,3,,individual
219,194,84,potions,35,100.0,3,,individual
219,194,84,potions,36,100.0,3,,individual
219,194,84,potions,37,60.0,4,,individual
219,194,84,potions,38,100.0,3,,individual
219,194,84,potions,39,60.0,3,,individual
219,194,84,potions,40,100.0,3,,individual
225,200,83,animals,1,0.0,9,,individual
225,200,83,animals,2,0.0,5,,individual
225,200,83,animals,3,20.0,4,,individual
225,200,83,animals,4,25.0,2,,individual
225,200,83,animals,5,40.0,3,,individual
225,200,83,animals,6,0.0,4,,individual
225,200,83,animals,7,0.0,4,,individual
225,200,83,animals,8,0.0,3,,individual
225,200,83,animals,9,25.0,2,,individual
225,200,83,animals,10,30.0,3,,individual
225,200,83,animals,11,30.0,3,,individual
225,200,83,animals,12,50.0,4,,individual
225,200,83,animals,13,0.0,3,,individual
225,200,83,animals,14,40.0,3,,individual
225,200,83,animals,15,0.0,4,,individual
225,200,83,animals,16,25.0,3,,individual
225,200,83,animals,17,0.0,3,,individual
225,200,83,animals,18,15.0,4,,individual
225,200,83,animals,19,25.0,3,,individual
225,200,83,animals,20,5.0,3,,individual
225,200,83,animals,21,0.0,3,,individual
225,200,83,animals,22,35.0,3,,individual
225,200,83,animals,23,15.0,2,,individual
225,200,83,animals,24,30.0,3,,individual
225,200,83,animals,25,0.0,3,,individual
225,200,83,animals,26,15.0,2,,individual
225,200,83,animals,27,0.0,3,,individual
225,200,83,animals,28,20.0,2,,individual
225,200,83,animals,29,30.0,3,,individual
225,200,83,animals,30,35.0,3,,individual
225,200,83,animals,31,25.0,3,,individual
225,200,83,animals,32,40.0,3,,individual
225,200,83,animals,33,25.0,2,,individual
225,200,83,animals,34,30.0,3,,individual
225,200,83,animals,35,0.0,3,,individual
225,200,83,animals,36,30.0,3,,individual
225,200,83,animals,37,20.0,2,,individual
225,200,83,animals,38,25.0,3,,individual
225,200,83,animals,39,35.0,4,,individual
225,200,83,animals,40,25.0,2,,individual
228,203,83,animals,1,15.0,20,,individual
228,203,83,animals,2,55.0,13,,individual
228,203,83,animals,3,0.0,16,,individual
228,203,83,animals,4,25.0,9,,individual
228,203,83,animals,5,0.0,11,,individual
228,203,83,animals,6,25.0,5,,individual
228,203,83,animals,7,10.0,7,,individual
228,203,83,animals,8,0.0,7,,individual
228,203,83,animals,9,40.0,4,,individual
228,203,83,animals,10,0.0,5,,individual
228,203,83,animals,11,15.0,5,,individual
228,203,83,animals,12,30.0,2,,individual
228,203,83,animals,13,25.0,5,,individual
228,203,83,animals,14,25.0,3,,individual
228,203,83,animals,15,25.0,2,,individual
228,203,83,animals,16,25.0,5,,individual
228,203,83,animals,17,5.0,4,,individual
228,203,83,animals,18,25.0,3,,individual
228,203,83,animals,19,25.0,3,,individual
228,203,83,animals,20,0.0,5,,individual
228,203,83,animals,21,25.0,3,,individual
228,203,83,animals,22,25.0,3,,individual
228,203,83,animals,23,25.0,4,,individual
228,203,83,animals,24,30.0,2,,individual
228,203,83,animals,25,20.0,5,,individual
228,203,83,animals,26,25.0,2,,individual
228,203,83,animals,27,30.0,3,,individual
228,203,83,animals,28,25.0,5,,individual
228,203,83,animals,29,20.0,2,,individual
228,203,83,animals,30,25.0,2,,individual
228,203,83,animals,31,30.0,2,,individual
228,203,83,animals,32,25.0,3,,individual
228,203,83,animals,33,25.0,2,,individual
228,203,83,animals,34,30.0,2,,individual
228,203,83,animals,35,25.0,2,,individual
228,203,83,animals,36,20.0,2,,individual
228,203,83,animals,37,30.0,2,,individual
228,203,83,animals,38,15.0,2,,individual
228,203,83,animals,39,30.0,2,,individual
228,203,83,animals,40,35.0,2,,individual
247,213,81,cooking,1,0.0,7,,individual
247,213,81,cooking,2,60.0,3,,individual
247,213,81,cooking,3,40.0,7,,individual
247,213,81,cooking,4,60.0,4,,individual
247,213,81,cooking,5,60.0,4,,individual
247,213,81,cooking,6,0.0,7,,individual
247,213,81,cooking,7,20.0,4,,individual
247,213,81,cooking,8,40.0,3,,individual
247,213,81,cooking,9,60.0,4,,individual
247,213,81,cooking,10,40.0,4,,individual
247,213,81,cooking,11,60.0,4,,individual
247,213,81,cooking,12,60.0,4,,individual
247,213,81,cooking,13,20.0,3,,individual
247,213,81,cooking,14,40.0,3,,individual
247,213,81,cooking,15,60.0,4,,individual
247,213,81,cooking,16,20.0,3,,individual
247,213,81,cooking,17,20.0,3,,individual
247,213,81,cooking,18,40.0,3,,individual
247,213,81,cooking,19,60.0,4,,individual
247,213,81,cooking,20,40.0,3,,individual
247,213,81,cooking,21,20.0,3,,individual
247,213,81,cooking,22,60.0,4,,individual
247,213,81,cooking,23,40.0,3,,individual
247,213,81,cooking,24,40.0,3,,individual
247,213,81,cooking,25,20.0,2,,individual
247,213,81,cooking,26,40.0,3,,individual
247,213,81,cooking,27,40.0,3,,individual
247,213,81,cooking,28,40.0,3,,individual
247,213,81,cooking,29,40.0,3,,individual
247,213,81,cooking,30,100.0,4,,individual
247,213,81,cooking,31,20.0,3,,individual
247,213,81,cooking,32,40.0,3,,individual
247,213,81,cooking,33,40.0,3,,individual
247,213,81,cooking,34,20.0,3,,individual
247,213,81,cooking,35,60.0,3,,individual
247,213,81,cooking,36,40.0,3,,individual
247,213,81,cooking,37,40.0,3,,individual
247,213,81,cooking,38,20.0,3,,individual
247,213,81,cooking,39,100.0,4,,individual
247,213,81,cooking,40,60.0,3,,individual
251,217,81,cooking,1,40.0,3,,individual
251,217,81,cooking,2,0.0,5,,individual
251,217,81,cooking,3,60.0,2,,individual
251,217,81,cooking,4,0.0,7,,individual
251,217,81,cooking,5,40.0,3,,individual
251,217,81,cooking,6,40.0,3,,individual
251,217,81,cooking,7,0.0,5,,individual
251,217,81,cooking,8,0.0,3,,individual
251,217,81,cooking,9,20.0,2,,individual
251,217,81,cooking,10,20.0,1,,individual
251,217,81,cooking,11,40.0,2,,individual
251,217,81,cooking,12,20.0,2,,individual
251,217,81,cooking,13,40.0,3,,individual
251,217,81,cooking,14,20.0,2,,individual
251,217,81,cooking,15,40.0,2,,individual
251,217,81,cooking,16,20.0,1,,individual
251,217,81,cooking,17,20.0,2,,individual
251,217,81,cooking,18,20.0,2,,individual
251,217,81,cooking,19,40.0,4,,individual
251,217,81,cooking,20,40.0,4,,individual
251,217,81,cooking,21,40.0,2,,individual
251,217,81,cooking,22,60.0,2,,individual
251,217,81,cooking,23,40.0,2,,individual
251,217,81,cooking,24,80.0,3,,individual
251,217,81,cooking,25,0.0,4,,individual
251,217,81,cooking,26,60.0,3,,individual
251,217,81,cooking,27,60.0,3,,individual
251,217,81,cooking,28,20.0,4,,individual
251,217,81,cooking,29,40.0,3,,individual
251,217,81,cooking,30,40.0,3,,individual
251,217,81,cooking,31,60.0,3,,individual
251,217,81,cooking,32,60.0,4,,individual
251,217,81,cooking,33,40.0,3,,individual
251,217,81,cooking,34,20.0,4,,individual
251,217,81,cooking,35,40.0,3,,individual
251,217,81,cooking,36,40.0,3,,individual
251,217,81,cooking,37,40.0,4,,individual
251,217,81,cooking,38,40.0,3,,individual
251,217,81,cooking,39,40.0,2,,individual
251,217,81,cooking,40,60.0,3,,individual
252,219,82,decorations,1,0.0,4,,individual
252,219,82,decorations,2,0.0,5,,individual
252,219,82,decorations,3,20.0,5,,individual
252,219,82,decorations,4,20.0,4,,individual
252,219,82,decorations,5,20.0,7,,individual
252,219,82,decorations,6,20.0,6,,individual
252,219,82,decorations,7,20.0,4,,individual
252,219,82,decorations,8,55.0,4,,individual
252,219,82,decorations,9,20.0,4,,individual
252,219,82,decorations,10,50.0,5,,individual
252,219,82,decorations,11,20.0,4,,individual
252,219,82,decorations,12,80.0,6,,individual
252,219,82,decorations,13,50.0,4,,individual
252,219,82,decorations,14,50.0,4,,individual
252,219,82,decorations,15,20.0,4,,individual
252,219,82,decorations,16,0.0,4,,individual
252,219,82,decorations,17,50.0,4,,individual
252,219,82,decorations,18,20.0,6,,individual
