id,creation_time,failed,failed_reason,time_of_death,property1,property2,property3,property4,property5,details,assignment_id,event_type,class
101,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1Ngha5w==""]]}",False,,,,,,,,{},692e09cfa34a76995172ab55,AssignmentReturned,Notification
102,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgiLuQ==""]]}",False,,,,,,,,{},692dfcca78f061bba1d0ef76,AssignmentReturned,Notification
103,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1Ngj+bg==""]]}",False,,,,,,,,{},692e08e3a31872269d3c4be2,AssignmentReturned,Notification
104,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NglDNw==""]]}",False,,,,,,,,{},692e0d2d4e40716fdbe2a7d8,AssignmentReturned,Notification
105,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1Ngmxdw==""]]}",False,,,,,,,,{},692debfcf5e98404a40d3fcd,AssignmentReturned,Notification
106,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgnuHw==""]]}",False,,,,,,,,{},692de24d66b70476c8b7f5c1,AssignmentReturned,Notification
107,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgpEiw==""]]}",False,,,,,,,,{},692e11883d0f7301998d405f,AssignmentReturned,Notification
108,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1Ngqhyw==""]]}",False,,,,,,,,{},692e069a5cbb2b8b65ef9ed9,AssignmentReturned,Notification
109,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgrkAw==""]]}",False,,,,,,,,{},692df5e7c4e2366ff4b93797,AssignmentReturned,Notification
110,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgtJfA==""]]}",False,,,,,,,,{},692e1b89b04e7d2466be569b,AssignmentReturned,Notification
111,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgvTeg==""]]}",False,,,,,,,,{},692e087bcba40e61c89477d3,AssignmentReturned,Notification
112,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgxIYQ==""]]}",False,,,,,,,,{},692dfe0079b9702b9ee584be,AssignmentReturned,Notification
113,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1NgzBww==""]]}",False,,,,,,,,{},692e1b57d5b45308a44f7f05,AssignmentReturned,Notification
114,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1Ng0WhQ==""]]}",False,,,,,,,,{},692dd96d61d8e581db8f8427,AssignmentReturned,Notification
115,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAgA1Ng1Viw==""]]}",False,,,,,,,,{},692dfcef79b9702b9ee58490,AssignmentReturned,Notification
